,User,Tweet
11822,AmirSheikh29,"@BDUTT From #BJP senior workers should ask modi &amp; hi is team to step down, go for early election demand should be better for whole India not for few constituency"
11823,IndianUMAa,"Congratulations Rahul Gandhi... A hero of Pakistan. Looks your dream of becoming PM may fulfill as PM of broken Pakistan.
We have enemy inside our country in form of RaGa... We hate u n Congress.
#RahulGandhiPagalHai #CongressPakistanBhaiBhai #CongressPakistanUnited #rahulgandhi"
11824,seemi_pasha,And now it unravels...Yeddyurappa says the air strike will help @BJP4India win more seats in the upcoming #LokSabhaElections2019. PM Modi addresses BJP workers- says ‘Na Mumkin kuch bhi nahi’. Just so there is no confusion...who is politicizing the #AirStrike
11825,kumardurgesh262,"@PMOIndia Sir @narendramodi once you read my tweet too and call us in your hand. I also want to stay in the #BJP and make #DelhiPolitics.I also want to work hard with you in the coming #LokSabhaElections of 2019. By working hard and strengthening the #Party.
@PMOIndia"
11826,SeharKamran,"@BDUTT Dangerous election winning tactics by #BJP dragging 2nuclear states into war situation &amp;risking peace &amp;security of entire region.
Let’s make peace not war ✌️ 
Win hearts with peace not with destruction &amp;dead bodies @narendramodi
Diplomacy &amp; Dialogue is the only way forward"
11827,ShivamurthyShe2,@narendramodi #AmitShah #BJP #BJP4India can you please fire Yeddyurappa from party.  He has damaged the reputation of party at every level. He is disgusting.
11828,rkvvss,"@ncbn Because @narendramodi and @BJP4India knows that how much ever they give to #AndhraPradesh either #TDP or #YSRCP will share all the MP seats. Instead if they give it #Orissa where #BJP is a bit strong, they can win few more seats.

I thought you knew politics 

#Elections2019"
11829,ThangarajMarapp,@news7tamil @narendramodi We support only our indian soldiers not you &amp; your party #BJP
11830,sumonseng,"@shuvankr @narendramodi Why is the media saying PM interacting with #Karyakartas of #BJP ? 
They should say #Modi interacting with #BJPKaryakartas .
They are busy saying #MeraJawanSabseMajboot while our Pilot #Abhinandan is captive in #Pakistan .
He should have said #MeraJhootSabseMajboot"
11831,KhanAmanatullah,"Loyalty to country ALWAYS. Loyalty to government ?, when it deserves it. @narendramodi  failed in  national security and only promoting #BJP to convert national emotions into vote politics.
#AbhinandanMyHero  #Abhinandan #BJPFailedNationalSecurity  #BJP_भगाओ_देश_बचाओ #yedurappa"
11832,ishwarch,"@TimesNow This shameless PM is busy in Campaign. Idiot bhakth don't have guts to question him and talk about nationalism.
Shame on you #BJP."
11833,mpiyushraj001,"@INCIndia Sala pagal Gaya ho Kia,All work in not done by #Modiji,#BJP have many minister they are working for India they are the minister of BJP they work,they are not  the minister of @INCIndia always be in sleep mode, and modi do rally to save our India for next 5 year's"
11834,Aprajit48245196,"@narendramodi Modi ji we respect u and we all love u... Please bring our  
Brave pilot Abhinandan back
#NarendraModi #Peace #Abhinandanmyhero #bringhimback"
11835,bharatpatni,"@ImranKhanPTI blaims #NarendraModi of escalating issue as elections in India ahead. To his surprise Modi has strongly reacted to the Pulwama attack which Imran could/did not prevent.
Pak is avoiding action on JeM which appears a prerequisite to deescalate tension.
How long ?"
11836,ojhaanjali,"PM asks #BJP workers to fly party flag at homes, vehicles... Even if you have auto rickshaw put BJP flag there- says PM in his interaction with booth workers"
11837,TriptiRTiwari,"@BDUTT The Core n Crux of @narendramodi ji speech is always 
Nation Building, 
Nation Protection, &amp; 
Nation Progress

What's the harm if he is addressing @BJP4India workers..

Stop this obsession with #BJP
leaders since morning..

U can't b neutral for more than 24 hrs or what"
11838,harshad_hsds,"When War continues, Modi will speak at the election rally,  vote for me to save jawan from pakistan  #Narendermodi #NoToWar  #AbhinandanMyHero #RahulGandhi"
11839,JainJain54,"@narendramodi ""Abhishek Singhvi-Difference Between @INCIndia &amp; @BJP4India 
#Congress-- #NationFirst
#BJP-- #ElectionFirst.    

#MeraJawanSabseMajboot #AbhinandanMyHero #BringBackAbhinandan #BSYeddyurappa  #LokSabha"""
11840,tHeSpoilerD,"When will our PM become the leader of this country for currently he is just the leader of #BJP . It is high time that he says #MeraJawanSabseMajboot rather than #MeraBoothSabseMazbooth .
Sad day for India."
11841,ceo_cv,#NarendraModi What a wonderful talk by our beloved PM to the Nation. He is India's greatest leader. He instills in every Indian the Pride that was missing before. Aadarniya Modi Ji hum aap ke saath hain. Jai Hind
11842,Venkatmaddy5,@narendramodi Modi ji Do u really need interacting with karyakarts now?#NarendraModi
11843,patidarsom,"""India will live as one, India will go grow as one, India will fight as one and India will win as one,"" Indian Prime Minister Modi says in an address to party workers. #NarendraModi #IndiaPakistan"
11844,ConsumerRPC,"Dont worry #Bjp definitely lose many seats &gt;using bodies of soldiers @TheIndianArmy

1998 won 182, after #Kargil 1999 won 182!
Partners did better, Vaj gud name, #Modi V.BAD

Heard many lowly ppl speak cheaply of #Modi ""keeps talking... 
@narendramodi @RahulGandhi @ArvindKejriwal"
11845,RT0L0,Modi Ji Got Work Order to use Rafale Fighter Plane. I hope you know the confirm site. #JaiHind #ModiHaiToMumkinHai #BJPB4India #bjp #Rafale
11846,TweetOfBihari,@PrashantKishor Then go and ask your boss @NitishKumar to talk with @narendramodi that #JDU is not going to support #BJP in election 2019 if they attacked terrorist camps either in PoK or in PAKISTAN.
11847,Udayindiaonline,My statement is being reported out of context. I said that ‘situation favourable for BJP’ which i am saying for last couple of months. This is not first time that i said #BJP in Karnataka will win minimum 22 seats under the able leadership of Modi ji: BS Yeddyurappa @BSYBJP
11848,ZayeemZiyadh,"#India PM @narendramodi wants become #War time PM like Former #US war time president Franklin D. Roosevelt.

@ImranKhanPTI &amp; @OfficialDGISPR!
Don't start the war before the #GeneralElections2019. But #Modi wants want war before the #LokSabhaElections2019.

#SayNoToWar #Abhinandan"
11849,onkarbhutada,@Gen_VKSingh @BSYBJP @narendramodi @AmitShah Sir pls sack Mr Yedurappa from d party immediately #AbhiNandan #NationFirst #IndiaStrikesBack #ModiUnstoppable #Modi #BJP #CongressPakistanUnited #CongressPakistanBhaiBhai
11850,Moon2Rise,"@capt_amarinder @MEAIndia The sooner your fascist @narendramodi regime #BJP apologize to the people of Pakistan @ImranKhanPTI  for their stupid action, going into 🇵🇰 territory then may be. Possible sanction against 🇮🇳 by @UN for the Geneva conv violation @capt_amarinder"
11851,iShivKumaraSamy,"@divyaspandana I understand you have spoken the congress culture, but U see this respected man @narendramodi will work like this till the last day of his prime ministership be it this year or 2029. U can’t expect a #bjp worker to work like @INCIndia worker. They R more dedicated in their work."
11852,nageshwar521,@SanishPatil @Sharma_aakash_ do you know about rafael deal? modi trying to buy new planes but what congress doing...they are trying to stop this deal...#congress didnt have thought to develop nation but #bjp govt trying to change...
11853,iscienceinc,"@IndiaToday @nagarjund yes the credit must goto #BJP and Modi led Government for doing the Surgical Air Strikes on Jihadi JeM Terrorists, why are you media people are doing for TRPs competition. @narendramodi as PM again to save India."
11854,senthilvel_1969,"#AirStrike against Pakistan will help BJP win more than 22 Lok Sabha seats in Karnataka and also help Modi in becoming PM once again, thinks state party chief #Yeddyurappa. 

This means that if these recent clashes had not happened, #BJP had no chance of coming back to power."
11855,TOICitiesNews,PM Modi is playing with the feelings of the country by focusing on party works rather than paying attention to country's security: Mayawati #NarendraModi #mayawati
11856,sandpxena,"Its not right time to make political plan, 
I think #PM Modi &amp; #BJP should postponed this political programme."
11857,AhriSpidon,"@DrSanjivG @timesofindia @ImranKhanPTI @narendramodi #Modi is referred to by many as the Butcher of Gujarat, a maha terrorist. It is Modi's failed policy of state sanctioned terror in #Kashmir that is responsible for this mess. Modi and # the morally bankrupt #BJP are the main beneficiary of this situation.#KickModiOut #KickBJP-Out"
11858,GatsbyGaitonde,"When opposition says #BJP is politicising #SurgicalSrike2 for electoral gain,they are not wrong. Yedurappa dishes out irresponsible statement today, Modi and other BJP leaders are balancing political rally and events attendance with border crisis like day to day affair."
11859,Pranab_Indian,"@BJP4India @AmitShah @narendramodi @AmitShahOffice Postpone this meeting as it's a time of national emergency. Bring back Abhinandan
##Bjp Govt"
11860,blkage,#Bjp @BSYBJP  you said the situation prevailing in the country will help to get more seats in election. You r stupid. This is enough for opposition to take on you. This sends wrong message to voters #bjp@PM Modi
11861,cackbajpai,"@Dr_Uditraj @narendramodi #Modi #AmitShah #BJP #ABPNews #aajtak #Congress all political statement, political rally should be stopped by all Political parties. They should concentrate on ""One statement One nation"" 
Ruling&amp;opposition parties both must come together when something is to be said for nation"
11862,yagnesh_pandya,Actually they united since jawahar and jenna’s Era. And this is the reason muslim community will always vote to non other then congress. #Bjp should never expact a muslim votes. They will die but never support #BJPMission2019. @narendramodi @AmitShah #CongressPakistanUnited
11863,aimimjaipur,Mr. Prime Minister Modi are you doing anything to get #wingcommanderabhinandan back him 🤔.. #AbhiNandan #NarendraModi
11864,India_I_Want,#RahulGandhi #INC @KamalNath_CM I am Not a Politician Want to know this. ARE these 2 Situations Similar “Nero Fiddled while Rome Burnt” When India was being Bombed our Respected PM was photo shooting n Today is having Election Digital Rally while we are at Red Alert. #SoniaGandhi
11865,Pradeep848Singh,"@BDUTT . @narendramodi is it d level of #BJP leaders' respect for country, armed forces &amp; martyrs? All know d ongoing tensions will have big impact of prospects of #Elections2019 , but its not done. #ShamelessYeddyurappa I wish if required people press NOTA but don't vote for BJP there"
11866,justtweettz,@IndiaToday @narendramodi @BSYBJP Idiot. These type of termites inside the #BJP must be rooted out. Such an idiotic and shameful statement to make now.
11867,Ssumier,"What a cheap and insensitive  comment by BJP minister Yeddyurappa say ""Air Strikes will help us win 22 to 28 seats in loksabha""#BJP #yeddyurappa @narendramodi @BSYBJP @BDUTT @sardesairajdeep that mean what they r doing is all a hoax? Seats are the agenda not the nation safety?"
11868,GulshanRaiNBT,@AmitShah will participate  PM Sh Narendra Modi Sangathan Sanwad #Mera Booth Sabse Majboot prog with Booth Karyakarta today @14 Pt Pant Mrg. #bjp @NavbharatTimes @sandhyatimes4u @KapilMishra_IND
11869,Trendsetting123,"@SunilKandalkar4 @sunilddesai @tarun_k_trivedi @RanjitOne @kirti_sd @IchbinUjjaini @Tapan_999 @AvijitSinha5 @priyapyadav18 @aayeff1 @terence_fdes @kukk44 @scrapravi @advocate_co @amitbehere @Nikhil_P_B @Scimitar_SS @TewariAlok @sanjayuvacha @Tamil1947 @SatishPan2013 @Vidyut @b_k70 @EmpoweringGoa @krishpachegonkr @joerave @Puneetvizh @watdehel @koyal19 @KPadmaRani1 @ScrewedbyState @kurup62 @geetv79 @iScrew @Vishj05 @BhavikaKapoor5 @priyankac19 @sadhavi @nehasamee11 @INCTharoorian @INCIndia @rssurjewala @HaftaWasooli @RadhikaBarman5 @DilawarTalkies @ShefVaidya @SwarajyaMag @PMOIndia @narendramodi Are you into property dealing you have all the rates, keep your whatsup University knowledge to yourself &amp; get lost from here, you will find many perspective buyers for your London property in #BJP"
11870,sanwat,Very irresponsible by opposition parties. Its not about politics now. Its about being united in a difficult time. Our PM needs your backing as a united Indian political party to give befitting reply to Pakistan. #congress #bjp
11871,ArkitectUsa,"@priyagupta999 @ImranKhanPTI @narendramodi Sigh. There u go again. Do u know there were women and children killed on border town by the Indian Army shelling? This is just today. #india, #BJP #RSS are sponsoring terror for decades. RSS carried out massacre of Kashmiris decades ago.  Would u give them up? Didn’t think so"
11872,DiliKadiyala,"Dear @narendramodi ,
Can you please take some immediate measures to #BringBackAbhinandan rather than being busy in launching #kheloIndia app &amp; election campaigning 😫
Plz mind dat u represent India not #BJP at his moment 👿
#AbhinandanMyHero 

#JaiHind 🇮🇳"
11873,Nandhaoffl,"Peoples Facts:- 

Which People Tagged $Goback Modi Tag On Media.. Today Same Peoples Mentioned @narendramodi ji Name On Same Profile!! 

Go Head Backstabber's.. Forever #NarendraModi 

@BJP4India @BJP4Karnataka @DrTamilisaiBJP @Hariindic @HRajaBJP"
11874,SahilJohari,"#CongressPakistanUnited 
Congress is proving that their intentions is to enjoy this hustle between India and Pakistan and blame Modi and BJP. 
#RahulGandhi He should be clearly asked to drop from political career as he is good for nothing."
11875,imshwetta,"Those who are asking #NarendraModi to drop every scheduled programme in wake of Indo-Pak tension
They don't understand that this is not how Modi works
He never shows tension or the activities behind curtain
Why will you give sign to enemy that you are tense
#MindGame"
11876,HemanNamo,"@cynicalrightist #The #KhandharHijacking

#PathankotStrike 

#UriTerrorAttack 

Opposition used all these unfortunate attacks on India to hit back at #BJP Is that not called politicisation ? 

Congress is aware that @narendramodi has done what millions voted him for. Congress is frustrated."
11877,nktbmb,Stop election let Modi ji continue for next 5 years.Stop wasting taxpayers money #Narendermodi #BJP #Modi
11878,vicky_bjp03,"#Bjp #videoconference #today live
Modi ji today viedo conference at tiruttani Ganesh mahal
#Tiruttanitownbjp #tiruttaniunionbjp #tamilnadubjp
#BJYM"
11879,coolmanvis,@roshan_90 @congress_ @narendramodi Don't ever try to blame us or create political drama between #BJP and #Congress clean ur dirt in ur country #Pakistan ur twitter history says what u are.
11880,WS_Dude,"@MilanV @washingtonpost The Pak Army owns Modi and #BJP's political future. Imagine him performing the blame Nehru routine, and then the crowd chants #BringBackAbhinandhan Along with media management, they will have to do crowd management also."
11881,proud_indian011,"@republic #NationFirst the irony vd d opposition is that, if Modi acts, then it's for election gain and if Modi don't act, he is against sentiments of Indians. At any cost it's #NarendraModi who has to be proved wrong."
11882,sanandanbk,@Actor_Siddharth @rohini_sgh @narendramodi I understand you can only say that much. I'm not a star so I can freely say I have only seen @narendramodi representing #BJP 😭
11883,AnshumanTomar8,"People are criticizing Modi government, please people don't change your opinion .. and  don't show your dual character may be you are thinking of utopian idea after modi.. government ..#bjp#good#work"
11884,AdityaSKG,@arunjaitley @narendramodi followed ur advice on #BalakotAirStrike as he did for #DeMonetisation now #BJP Will say the goal of #AirSurgicalStrikes was to bring Pakis on table to talk. the main goal ie capturing #MasoodAzhar #dawood lost. If @Swamy39 was FM then @BJP4India would hv won 2019
11885,Dhoomi_110,War is a very serious matter 2 be left with ruthless #Modi &amp; his hawkish kitchin cabinet of #BJP INDIA as a nation has 2 choose between the defeat of Modi in forthcoming elections or a defeat 4 the entire nation in supporting Modi 2 achieve his political ambition through military
11886,Virvij,"@boseudayan @SandipGhose @tavleen_singh @RahulGandhi “Modi will have huge advantage” for what? What are you trying to say? 
Are you saying he gains to benefit from this electorally? Is that why #BJP politicking so much?

As our elected PM he must be questioned. Voters will decide the aftermath."
11887,nandini47,#RahulGandhi what modi ji has done ..it's commendable. ..I am proud
11888,surbhimittal21,"@NSaina @Anureet18 @BDUTT Thank u supporting and clarifying.. @narendramodi is doing his job, #indianairforce is doing their job... They don't want to portray people that is any type of emergency in the country.. So pls people stop targeting #bjp"
11889,KiruRavoori,"I am ready to Exchange Modi For Abhinandan. What about u?

#ChowkidarHiChorHai #AbhinandanVarthaman #BJP #PakFakeClaim"
11890,MissMatlabi,If u want to ur country to progress don’t even vote for modi again! They are bunch of liars ! #Congress #BJP #BringBackAbhinandhan
11891,Ashutos63015125,"✍️Which Organisation Removes Allahabad Bank, Corporation Bank, Dhanlaxmi Bank From PCA? #RBI

✍️Prime Minister #NarendraModi addressed Network-18 Rising India Summit, held in -#NewDelhi

✍️Who will Awards  the Winner of 'National youth Parliament' Festival ?Narendra Modi
#india"
11892,dehwarz,@rubestar11 @adinarayanaragh @SirJadeja @narendramodi Bad + bad doesnt make it right... again guys take a chill pill... we donot want war cuz the countries which faces war goes back 100 years and looses alot of innocent lives.... please talk some sense into #BJP and @narendramodi
11893,YANS162004,"Let's save on the Election expense this time around, if there is a provision in the Constitution of India,  we should just offer a straight extension to Modi Government for next 5 Years.
#proud #feelingsafe #modimodi #PMO  #IAF #salutearmy #Indianairforce #HighJosh
#NarendraModi"
11894,iamAmoghShambu,@divyaspandana We are happy and proud of @narendramodi ji sir @BJP4India @BJP4Karnataka @BSYBJP sir government &amp; happy &amp; thankful for #BJP developments &amp; which is making my India to be the developed nation an powerful nation &amp; strongest in all aspects #BJP have done good works...
11895,MYA_PAK,"#Narendare modi and #BJP is cursing #Abhinandan that why he remained alive to be captured by #Pakistan . #Abhinandan put #India in a bargaining situation.
Sala election jeetny k liay kuch bhi kre ga."
11896,hassanbangash_,@ajaydevgn @narendramodi Few families in India will be restless tonight. Only because of this nonsense #Modi and #BJP.
11897,hassanbangash_,"@narendramodi Few families in India will be restless tonight. Only because of this nonsense #Modi and #BJP. 
#SayNotoWar"
11898,ramakantrout123,"@BJP4Rajasthan @narendramodi This is not the right time to do meeting and not the right time for election campaign.
#BJP4India #bjp"
11899,rahu24,"To all those PSUEDO and liberals spreading message of peace .. One wing commander has been captured .. Common guys he knew the sort of danger he was into .. Modi has taken a bold step ..keep walking #NarendraModi 
Doob maroo 
#mushtaq
#OmarAbdullah 
#MuftiMehbooba"
11900,Onlyesskay,"@c_aashish @prasannavishy @narendramodi #INC either has lawyers or Liars, there is No Professional among them.
They just roped in Gen. DS Hooda as head of their Strategy Cell. He seems to have joined them to watch the fun from inside...  Let's see for how long."
11901,sksharmacare,"@aajtak @narendramodi Pak PM's msg a blatant lie, joke &amp; motive to repeat-cheat. IAF target is millitant, Pak target Indian millitary &amp; civillians, a war-like action. Border School closed, #CivilliansPanicDistress &amp; #Inc Pak ASAP return IAFWC as per Geneva Convention Else India's attack to go on &amp; on"
11902,buntysingh99,@SudarshanNewsTV @BSBHATILALANA @narendramodi @SushmaSwaraj @MEAIndia MISSING RAFAEL TODAY..... SHAME ON CONGRESS STILL WE HAVE MIG . WHY THEY DIDNT BUY RAFAEL BEFORE ???? missing ABHINANDAN #BringBackAbhinandhan #namo #congress #inc
11903,varunvijaypawar,"Congrats to @narendramodi on winning 2019 Lok Sabha elections. 
People will vote you because of the Airstrike, but they won’t realize that Pulwama attack shouldn’t have happened in first place. They will vote you overlooking the mess you created in last 5 years. #bjp #Congress"
11904,srish0810,"I pray for #WingCommanderAbhinandan Hope he will come back in his country safely. We are waiting honourable modi ji. We can't wait 12 days for him like we did for air strike.We want him back now, ur rallies, election or war not so important. Firstly bring him back 
#NarendraModi"
11905,SourabDey4,"#BJP @narendramodi @MVenkaiahNaidu please make us Indians proud. Modiji you are a able leader, I m ready to die in border, shar jukne math dena sirji,  Please sir naman kar ke bol raha hoon you are very matured please do u what need to be done"
11906,buddhabjp,"#Modi #bjp welcome to South coast railway zone, visakhapatnam .Yahoo jai ho Modi ji , Jai BJP"
11907,PrakharPandey_,"The biggest question for BJP and PM Modi now is that do they have the courage to #BringBackAbhinandan without any compromise or just bow down and negotiate like the previous @BJP4India governments. 
#AbhinandanVarthaman #IC814 #BJP #Modi. Less talk more action needed frm the gov."
11908,segukranthi,@GVLNRAO @narendramodi @BJP4India @AmitShah @PiyushGoyal For the sake of votes in Elections .At last #Bjp announced railway zone to AP before elections .
11909,ashutosh5553,This is the chance to show our strength to Pakistan. They can not afford to fight for 2 days. As they don't have money. Don't let them go and bow down for talks. Each Indian is with you and are proud of our Army.#Jaihind #BJP #Congress @RahulGandhi @narendramodi @PMOIndia
11910,Tollybuff,@djgundala @vanichandra2010 @narendramodi @ncbn @PiyushGoyal @PiyushGoyalOffc @INCIndia @RahulGandhi @ANDHRAJYOTI @JaiTDP Give credit where its due. @narendramodi gave railway zone to Visakhapatnam! #BJP #Vizag
11911,ChoraGaon,When it will come to protect our country whole world knows that Modi is ruthless leader who doesn't work under any pressure. So believe on him if pak wants war he will definitely ruin that shit hole country. #GetReadyForSurprise #NarendraModi
11912,Tollybuff,&gt;@narendramodi govt announced railway zone for #Vizag. This chutiya @ncbn and his joker son @naralokesh must apologize to Modi and BJP for calling them names. #BJP #Railwayzone #Vishakapatnam #specialstatus
11913,surendravskp,"Thank you @narendramodi @PiyushGoyal @BJP4India @BJP4Andhra 👏👌🤝
My second MP vote also dedicating to #BJP 
#RailwayZoneForVisakhapatnam"
11914,Kashyap10652824,@PiyushGoyal Thank u so much for announcing a new zone #bjp @narendramodi
11915,farazakaf,"@IndianExpress And why not #LokSabha MPs? And why not #PMModi and why not #bjp govt? 
#RajyaSabha MPs are not directly elected by the people of India but Lok Sabha MPs are directly elected by us so don't misguide the #youths"
11916,punebjp,"MIG 21 which went down was not bcoz any Porki F16 or JF17 shot it, It is bcoz of technical engine trouble

Responsible for it is @RahulGandhi and his @incindia. They failed to upgrade our AIR FORCE in last 10 years STOP #Rafale

who is he helping? #Abhinandan @narendramodi #BJP"
11917,RizviSalim,"@rwac48 Modi and Rajnath Singh showing their priorities

#LokSabhaElections2019"
11918,abhishekhrithk,"Mr Prime Minister Narendra Modi ji , When we did an air strike you did a rally. 
Now what are you going to do to bring our Commander Back from Pakistan? 
#ModiJi #PrimeMinisterModi #Delhi #NarendraModi #BJP #India #BringBackAbhinandan"
11919,KannuMehta2,"I'm from India and I truly agree with what Mr IMRAN KHAN said, both countries are nuclear powdered countries and now if Mr MODI denies to sit and talk with with PAK pm then I must say that his ego big will harm other innocent people's life's living #NarendraModi #PMModi"
11920,ManishAnand_25,Business as usual continues for @narendramodi &amp; #BJP with biggest ever video conferencing Thursday to go as scheduled; target to connect with over one crore party workers
11921,Gillu_Kaliya,"@ArvindKejriwal The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11922,Gillu_Kaliya,"@Shehla_Rashid The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11923,Gillu_Kaliya,"@MehboobaMufti The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11924,Gillu_Kaliya,"@abpnewshindi @RahulGandhi The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11925,Gillu_Kaliya,"@RahulGandhi The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11926,Gillu_Kaliya,"@INCIndia @RahulGandhi The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11927,Gillu_Kaliya,"@sambitswaraj @aajtak The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11928,Gillu_Kaliya,"The safe return of #WingCommanderAbhinandan is and must be more important for the BJP than the political campaigns for Narendra Modi and the use of our brave military for his re-election. 

Indian Army is an article of belief of every Indian, it is not a Political Cow of #BJP."
11929,India_I_Want,#BJP Shameful Vivek Reddy BOASTS on NDTV it’s okay for PM Holding Election Rallies WHILE India is being Bombed. This Reddy seems to be a person only interested in Winning a Political seat! Country comes LAST for him. Constituents Please ENSURE He n They r NEVER Re Elected
11930,ShadabPeerzada,"#Opinion: Dilemma with Modi is; if he go for peace with Pakistan, he will lose credibility &amp; If he goes war with Pakistan, he will still lose his government &amp; destroy India. 

#wingcommanderabhinandan 
#BJP #Modi #India"
11931,satya_cal,@BJP4India @narendramodi Shame on you #bjp
11932,becreater,"I wan to say firstly to pakies to Stop providing shelter to terrorists, maybe that will help u . No wonder why Pak is known to be a terrorist state all over the world. #SayNoToWar #PakistanAirForce @ImranKhanPTI @pid_gov #SayYesToWar #war @narendramodi @RahulGandhi #bjp #congress"
11933,ILoveIn51591256,"Pls modi ji bring back our hero pilot  ,pakisthani army will torture .They are as cruel as cunning fox. We will be glad if he returns back safely.All INDIANS ARE WITH YOU SIR. #AjitDoval #BringBackAbhinandan #NarendraModi #AirSurgicalStrikes"
11934,srish0810,"Modi ji every credit has been given to you for yesterday's air strike. Now it's your duty to take our wing commander abhi nandan back from those cheap people.
#wewantourpilotback
#NarendraModi"
11935,rakhisharma165,"Modi ji strict steps should be taken fir pilot #abhinandan . Pakistani s army beats him cruely and sharing the video on social media .You are aware of that please do something .
#NarendraModi"
11936,sexguru100,#SayNoToWar #abinandan #PakistanStrikesBack our nation is so dumb. All this happens becuase #Modi wants to win election.Dont u get it. #Pakistan is Nuclear state. U cannot enter and then come back. #FakeSurgicalStrike2 Bycot Modi and Vote for #Congress #INC #RahulGandhi
11937,iindrojit,"Breaking: Indian opposition parties slam PM Modi over escalating tension at the border in the aftermath of #Pulwama In a joint statement, 21 parties expressed ""deep anguish over blatant politicization of the sacrifices made by armed forces"" by leaders of the ruling #BJP"
11938,Ravi13430026,"Remember: 

- Indian media wants TRP
- Pakistani media wants TRP
- Modi govt wants votes 
- Imran govt wants votes 

All four of them CAN spread #FakeNews and polarize people for getting what they want!#rahulgandhi #pawankhera"
11939,zaqmc,@BurhanSpeaks modi cant show guts because he is lacking nuts under his gentleman sausage between his legs #achansorry #NarendraModiJindabad #NarendraModi #India #IKMKB #PakistanStrikesBack #BJP_भगाओ_देश_बचाओ #RSS #shifuji
11940,OnLSDs,@AkhterH007007 @BJP4India @narendramodi Besides #BJP
11941,chiragbhaiya,"Those arguing that the #BJP government &amp; Modi started the 'WAR' should know that during the Surgical Strike &amp; Air Strike Indian Army didn't attack the Pakistani Army; they have made terrorists their target. This was not WAR.

#IndianArmy #IndianAirStrike #PulawamaTerrorAttack"
11942,babubatla,"@OwaizBhutto @Ankitaker2 @narendramodi &amp;  strong communal @BJP4India is the biggest asset ISI is having in India.

So they won't lose this so easily.

They want #BJP to return to power once again so they can break India internally.
#Abhinandan #BringBackAbhinandan
#SayNoToWar"
11943,md_abstract,@AnumulaChaitra @IndiaToday @narendramodi #mogi #yodi #bjp just destroying India and nothing else...
11944,pindropviolence,"RT if you want Modi to be exchanged for our Wing Commander Abhinandan Varthaman. 

#Abhinandan #BalakotAirStrike #IndianAirForce #BJP"
11945,sraja1503,Indians should stand united to throw this #BJP and @narendramodi out of power. #NoToWar
11946,Dhruvka96630293,We respect our modi government but please let our loved army free  hand please #IndiaToday #IAFStrikes #Balakot #BJP #Congress
11947,ChitraS10034692,"We do not want war, we want peace to prevail. We want our IAF Pilot back (if he's ours) at any cost. Please bring our fighter back. #PMO #PMModi #IndiaStrikes #IndianAirForce #NirmalaSitharaman #NSA #BJP #UnitedNations"
11948,badhimansh07,"Why are we wasting money on loksabha elwctions, lets @narendramodi sir continue for next 10-15years 😎🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳
#Bjp"
11949,sakshyamprahlad,"Joined 
@BJP4Odisha
 karyakartas &amp; beneficiaries of various welfare schemes of #ModiGovt in the #BJPKamalJyoti program and lit the lamp of progress. Pledged to re-elect Shri @narendramodi as our Prime Minister and work with a renewed vigour to bring in a #BJP led Govt. in Odisha."
11950,AhriSpidon,@htTweets @narendramodi hhhhhhhhh. All this mayhem and loss of life just so #Modi and the morally bankrupt #BJP politicians can buy votes for the upcoming elections. #KickBJP-Out #KickModiOut @timesofIndia @ndtv @RahulGandhi
11951,Scout_Captaln_,"Remember: 

- Indian media wants TRP
- Pakistani media wants TRP
- Modi govt wants votes 
- Imran govt wants votes 

All four of them CAN spread #FakeNews and polarize people for getting what they want!
#NarendraModi #PMOindia"
11952,hem_gem,"target hit them
Hard.. 
we are with u #indian #defence #narendramodi #bjp 

All the best @narendramodi @AmitShah @nsitharaman @arunjaitley @BJP4India @friendsofrss @IndINDIANARMY @IndianDefenceRA @IAF_MCC @indiannavy @defencealerts"
11953,itsusmans,@VORdotcom Just for winning one elections #BJP has gone mad. @narendramodi
11954,Zain_ul7,Hanji modi ji how is your election campaign looking now? #BJP #India #SayNoToWar
