,User,Tweet
50,jhambt,"@bainjal Wherever modi goes,
Cameraman  follows... 

#LokSabhaElections2019"
51,ninadsheth,#RomilaThapar one of Indias top fiction writer calls #BJP  @narendramodi   paddller of myths this is the real danger resident  non Indians fat on foreign funds jihad supporters.
52,jiturocking2013,@sonakshisinha @ShatruganSinha The need for nation is only modi #BJP #NAMO AGAIN
53,Shasankp2,Question : how can we be sure if the election commission will not change the voting numbers in the EVM to favor Modi and @BJP4India ?   #loksabhaelections2019 @free_thinker @akashbanerjee @dhruv_rathee @sardesairajdeep @Nidhi #ElectionCommission @ECISVEEP
54,ninadsheth,@_ugra_ #RomilaThapar one of Indias top fiction writers calls #BJP  @narendramodi   peddllar of myths this is the real Denver resident  non Indian fat on foreign funds jihad supporters.
55,ninadsheth,@h_tejas #RomilaThapar one of Indias top fiction writers calls #BJP  @narendramodi   paddller of myths this is the real Denver resident  non Indian fat on foreign funds jihad supporters.
56,MundaTatawala,"@dipaksamanta @narendramodi #Kedarnath  
Proud of our PM Shri Narendra Modi!
A true Indian and the best PM we ever had.He started his #LokSabhaElections2019 campaigns with an aarti in #Varanasi and went to #KedarnathTemple after finishing it. Waiting for 23rdMay, when Modiji will tweet India Wins Again!"
57,ninadsheth,@UnSubtleDesi #RomilaThapar one of Indias top fiction writers calls #BJP  @narendramodi   paddller of myths this is the real Denver resident  non Indian fat on foreign funds jihad supporters.
58,ninadsheth,@TrueIndologyliv #RomilaThapar one of I. Dias tip fiction writer calls #BJP  @narendramodi   paddller of myths this is the real Denver resident  non Indian fat on foreign funds jihad supporters.
59,NeerajS13318461,"Today I m feeling that though under @INCIndia regime at least rowdy ness among some section of community was not there ,which s now reflecting n #BJP state rule .
@AmitShah @narendramodi 
@atullondhe @NANA_PATOLE"
60,NeerajS13318461,"During this 4 year #BJP rule n state,  rowdyness within some community either s managing fund or funding 2  #BJP s dominating city n suburb 

@AmitShah @narendramodi @NANA_PATOLE @atullondhe"
61,MOEMyOwnEvent,"চুপচাপ কমল ছাপ Buth Buth Se TMC Saff! Phir Ek Baar Modi Sarkar #NamoAgain #LokSabhaElections2019 To Build a Strong India, Vote For National Flower Vote For BJP 🇮🇳 #WeAreChowkidar #HaamBhiChowkidar"
62,imamitverma,"Don't know why, but my intuition says that @narendramodi knows the magical figure BJP has already achieved. #LokSabhaElections2019"
63,sbb_ca,@ANI Luxury life of a PM... Lucky Modi... Model Modi #JaayegaTohModiHi #LokSabhaElections2019 #modelmodi
64,CaptAKJ,"@IndiaToday @narendramodi Too good. More #PM #Modi spends time in meditation at #Kedarnath , more jittery &amp; restless oppn wl get. Sometimes silence cd b such a lethal weapon. Anways 19th sealed for #BJP &amp; wid tt, d hopes f oppn. #LokSabhaElections2019 game over."
65,mrmishra2001,"@INCIndia @RahulGandhi Your party have done good work in opposition, NO SCAM was done by Modi Government in your opposition period.. Good luck for as a Opposition Party for now and forever PAPPU Bhai 😁😀😀#Raga #NARENDRAMODI"
66,CaptAKJ,"@ANI Wevr, media has more than nuff pics now. 19th sealed for PM #Modi. Let oppn cry.
#LokSabhaElections2019"
67,sandipoec,@ANI Modi took #Kedarnath movie too seriously..even matching umbrella 😂 #LokSabhaElections2019
68,Sudhirshetty08,"During Modi Government, unemployment is seriously horrible....

22 applicants for
one PM POST
Earlier, was just 2 or 3
#LokSabhaElections2019 #May23WithTimesNow"
69,HariVimalesh,"And yes Godse was a Hindu terrorist. *hindu is not a religion and is a geography. @narendramodi or any body in #bjp are not Hindus by religion, but Hindus by region like any other Amar, Akbar or Antony of the nation @maiamofficial @ikamalhaasan"
70,Kalyani125lakhe,#RKSinha provided free IIT-JEE coaching facility for children under 'Opportunities' Not for Profit Charitable Trust. @narendramodi @AmitShah #Patna @BJP4India @BJP4Bihar #BJP #RSS @RSSorg #Education
71,ManuSenva,"To ensure the victory of BJP, #RKSinha has campaigned for the party by giving support to #RKSingh ji contesting election from Aara parliamentary constituency. @BJP4India @BJP4Bihar #BJP #RSS @RSSorg @narendramodi @AmitShah #Patna"
72,DipantoS,"At 5 lakh #Kolkata witnessed the highest attendance in #PrimeMinister @narendramodi rally of 3rd April during the #LokSabhaElections2019 

#Bengal is with #Modi 
#DeshKaGauravModi 
#AbkiBaar300Paar"
73,madhusudan41,The Congress and non-NDA regional parties likely 2 win around  300 seats and non-NDA regional parties will  quickly come together to form a federal front.Congress will spare no efforts  to keep Modi out of power. #justsaying #LokSabhaElections2019
74,GaremaJ,Modi cant do a proper press conference but he is a pro in giving photo shoots. He is the most annoying person in the country right now. Only his bhakts may compete with him on that note. Sick and tired of it all. #modi #bjp 👎👎👎 #BJPseDemocracyBachao #LokSabhaElections2019
75,omkarmainane,"Who was succeeded in 5 years Rule ?
BJP’s press conference Highlights ! 

He wanted to prove: 
1. Narendra Modi is not the actual leader.
2. Modi knows nothing and he is more capable.
3. If need arise, Modi can be sidelined easily.

Who is that Guy ?? #BJP"
76,CadetRegency,"@ANI Signs the #LokSabhaElections2019 were itself a #JUMLA!
1. @ECISVEEP's mute support to #BJP
2. Faulty #EVMs
3. Modi declaring the @BJP4India has won the elections with absolute majority in #ModiFlopPressConference 
Way before #23MAY!
4. A very pretentious #Kedarnath
Yatra
🙈🙉🙊👿"
77,tfarcdrow,@ANI Press conference by modi are scripted and with one person only. 😂 #LokSabhaElections2019
78,HashimYJSpeaks,Dear #Opposition protect #evms from #BJP n keep good security at #strongroom as from tom they will make #godimedia predict modi win with 300 325 seats n den will start foul play to make it true... @INCIndia buck up be at strong room 24*7
79,puranik_kaushik,Why are the political parties fighting about why Godse killed Gandhi and was it justified.....it's been 70 years since that incident just leave it and focus on the elections... #Elections2019 #BJP #Congress @RahulGandhi @narendramodi
80,sannisinha,"Trains in India will never be on time, I thought there will be changes in Modi govt, but no....! #NarendraModi #piyushgoyal"
81,CoolRahulBajaj,"#LokSabhaElections2019
#DeshKaGauravModi
#ApnaModiAayega
Earlier middlemen used to siphon off benefits meant for the poor and vulnerable. Today, Jan Dhan &amp; Aadhaar are ensuring benefits flow directly to bank accounts of the poor. All of this happening under Modi govt.
NaMo App"
82,Utsav6589,"@RahulGandhi You don't worry Mr Gandhi, AAYEGA TO MODI HI....then he will give answer okay..!!

Delhi abhi dur he...Abki bar phir Modi sarkar...#LokSabhaElections2019 @narendramodi"
83,KarthikThiru126,"Situation on May 23rd 2019 :

BJP will dedicate their victory to Karyakartas &amp; people of India 

All Oppstn - Will complain about defeat due to EVMs 

@narendramodi @AmitShah @blsanthosh @CTRavi_BJP @BJP4India 

#LokSabhaElections2019 
#ModiHaiTohMumkinHai"
84,pkm1999,"@rupasubramanya @narendramodi @AmitShah @RahulGandhi This was not the PM but the caretaker PM..  It was a BJP press conference , it had no . of BJP Karyakartas  on the dais...  Obviously the BJP President was the Leader of the team .  #Narendramodi is just a Prime Ministerial candidate , not the PM in the  making.. #Elections2019"
85,pkm1999,"@mkvenu1 This was not the PM but the caretaker PM..  It was a BJP press conference , it had no . of BJP Karyakartas  on the dais...  Obviously the BJP President was the Leader of the team .  #Narendramodi is just a Prime Ministerial candidate , not the PM in the  making.. #Elections2019"
86,pkm1999,"@sumanthraman This was not the PM but the caretaker PM..  It was a BJP press conference , it had no . of BJP Karyakartas  on the dais...  Obviously the BJP President was the Leader of the team .  #Narendramodi is just a Prime Ministerial candidate , not the PM in the  making.. #Elections2019"
87,PriyaSogani,India - Why PM Modi has been made a respondent in a case against him? How to logically argue when supreme court registry asks that ! #saketgokhale #NarendraModi #righttoinformation #rti #SupremeCourt #article19 #politicslive
88,peppersprae,"@firstpost Who says #BJP's campaigning is done and dusted, our Ex PM is still in election mode 😁"
89,pkm1999,"@tjoseph0010 If signifies that if #BJP   does not get the nos. , in 2019 , #NarendraModi   will leave the capital with his backpack..   New @BJP4India  leadership will hand/take over the reins , #Modi was a one time PM , 2014-2019  &amp;  #Modi era is over ....     @paranjoygt     @priyankac19"
90,thedevilishere9,"Ab ki baar Modi sarkaar slogan is a clear indication that BJP and RSS is down on its knees and this man is their führer.

#BJP #RSS #India"
91,ricky4ricardo,First press conference in 5 years modi didn't have the balls to take on any questions.. He had his daddy Amit to cover him. #NarendraModi
92,Manojku92436379,@narendramodi Congratulations in advance for winning 403 seats #BJP #ModiAaneWalaHai
93,Anadinidhana,"@YashwantSinha Lol at ur house your chowkidar son is not listening to your words, then how can you think people will listen to your words!!! 
People will vote for #modi 
Go holiday for one month, don't watch TV and oath taking ceremony of PM #NarendraModi and @jayantsinha #PhirEkBaarModiSarkar"
94,vi_jaykumar,@amritabhinder @BJP4Himachal @jairamthakurbjp @BJP4India @BJYM @narendramodi @AmitShah That's the difference between #Congress &amp; #BJP
95,Ferraodesigns,So Brahmin Muslims and Christians were happy to elect Narendra Modi in 2014 despite his track record as Gujarat CM. #RSS #BJP #Muslims #Christians #Brahmancal #Congress #RahulGandhi #Fascism #India #Trump #
96,mehuljain1108,"Modi birth date is 17th and this is 17th lok Sabha election, it may be possible this coinstence break all the records. BJP will get 350+ seats.
#ModiOnBharat 
#AyegaTohModiHi 
#bjp
#congress 
#CongressMuktBharat"
97,vermsnaren,@nramind And how about u Mr controversial editor in chief who is known to spew his venom against @narendramodi  and #BJP ... it seems #ModiAaneWalaHai has put u in tight spot ..now u can either run or join the bandwagon... mr Dolt wake up.. this country knows u pretty well..
98,sumit138,"Hyderabad (TRS) out in the eliminatior.

Delhi (AAP) out in the qualifier.

Chennai (AIADMK) eliminated in finals.

Winner MUMBAI (BJP).... Trophy went to the team whose state has BJP Government.

Still having a doubt on Modi win on #23May2019
#LokSabhaElections2019
😊😊😊👏👏"
99,Saffron_Shweta,"Dear PM @narendramodi plz ensure that the culprits must be booked who killed  lots of #BJP karyakarta in #TMC ruled #WestBengal.
#SaveDemocracy 
#ModiHaiTohGodseHai"
100,kritikasrawat25,"@RahulGandhi keep saying this nonsense that I have challenged @narendramodi for a debate&amp; he is scared to do it.Its good #modi is ignoring him,we have seen all kind of interviews of #RahulGandhi.He is that dumb kid who does everything to get attention of popular kid in school!"
101,SharonFeb6,"@TarekFatah @RahulGandhi @narendramodi If BJP can monitor complete social media, tv channels, movie industry, YouTube videos, whatsapp, clouds, digital camera and much more. Big deal if he send some journalist? Sadly, no #BJP &amp; #congress wants to educated India."
102,thelivingkind1,"PM Modi.... who cares whether you forgive her or not.  Where is the action against pragya? 
#Elections2019 #Congress #RahulGandhi  #PMModi #NDTVNewsBeeps #foolingthenation"
103,lousybug,"All this to discredit  #LokSabhaElections2019 which Modi ji is likely to win &amp; bracket him in the category of Erdogan, Putin etc."
